iatiidentifier,donor,x1_donor_type,modality,recipient_main,complete_flag,y1_gap_full,y2_early_days,commitment_usd_full,s1_share,s2_hhi_net,s3_n_donors,n_years_obs,withheld
GB-1-202328-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,PK,1,2.506927443413076e-9,-1310,242860235.7083,0.15506375095941607,0.6083818782748373,2.5555555555555554,1,0
GB-1-202377-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,RW,1,0,-842,96060042.7735,0.10570363210923855,0.3746449808184217,5,1,0
GB-1-202462-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,MZ,1,0.1700939219423795,-1887,27639808.4753,0.1652887464886027,0.4087948554140243,5.5,1,0
GB-1-202468-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A01_general,GH,1,0,-639,65290721.5,0.06823617017106794,0.44918776360898,4,1,0
GB-1-202697-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,PK,1,0,-1310,230297578.2334,0.19878046360933393,0.5618557855797041,2.5714285714285716,1,0
GB-1-202893-104,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ET,1,1.0834264740910983e-7,-725,4520043.69305,0.41030396247985024,0.3477414166669657,2,1,0
GB-1-202990-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ET,1,-0.00864221240637608,-580,344586242.5,0.7697256492556929,0.048582608045620757,3,1,0
GB-1-202990-103,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ET,1,0,-580,12441370,0.7697256492556929,0.048582608045620757,3,1,0
GB-1-202991-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ET,1,0,-789,310372475,0.7697256492556929,0.048582608045620757,3,1,0
GB-1-203001-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ZM,1,0.16149219138980553,-2001,49178379.691,0.917345283526676,0.05815353811191748,1.5,1,0
GB-1-203100-104,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,NP,1,0.00451968680746106,-638,6448360.74745,0.404752745289869,0.4236827129143854,2.5714285714285716,1,0
GB-1-203213-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A01_general,TZ,1,0,-586,142612512.5,0.10977973991972682,0.4569722125342438,6,1,0
GB-1-203213-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,TZ,1,0,-586,103236900,0.09046441401874603,0.447167807831526,5.5,1,0
GB-1-203396-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ET,1,0,-916,39706500,0.7697256492556929,0.048582608045620757,3,1,0
