iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,title
46002-P-BF-KZ0-003,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,3,Finalisation,"EN: Burkina Faso - COVID-19 Support Programme in G5 Sahel Countries - Burkina Faso, Mali, Mauritania, Niger and Chad (PARC COVID-19 - G5 Sahel), FR: Burkina Faso - Programme d'appui en réponse à la crise de la COVID-19 dans les pays du G5 Sahel - Burkina Faso, Mali, Mauritanie, Niger, Tchad - (PARC COVID-19 - G5 Sahel)"
46002-P-BI-I00-004,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Burundi - Youth Unemployment Reduction and Diaspora Engagement, FR: Burundi - Réduction du Chômage des Jeunes et Engagement de la Diaspora"
46002-P-BI-KA0-001,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Burundi - Economic Reform and Governance Support Program (PAREG) 2005-2006, FR: Burundi - Programme d’Appui aux Réformes Economiques et à la Gouvernance (PAREG) 2005-2006"
46002-P-BJ-E00-007,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,"EN: Benin - Programme for Achieving Drinking Water Security to Build Resilience in Rural Areas (PROSER MR), FR: Bénin - Programme de sécurisation de l'eau potable pour la résilience en milieu rural (PROSER MR)"
46002-P-BJ-FZ0-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Benin - Energy Sector Budget Support Programme - Phase I (PASEBE I), FR: Bénin - Programme d'Appui Budgétaire au Secteur de l'Energie - Phase I (PASEBE I)"
46002-P-BJ-K00-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,3,Finalisation,"EN: Benin - Economic Competitiveness Support Programme (PACEB), FR: Benin - Programme d’appui à la compétitivité économique du Benin (PACEB)"
46002-P-BJ-K00-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,3,Finalisation,"EN: Benin - Economic Competitiveness Support Programme (PACEB) - PHASE II, FR: Bénin - Programme d’Appui à la Compétitivité Economique du Bénin 2ème phase (PACEB II)"
46002-P-BJ-K00-007,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,"EN: Benin - Economic Governance and Private Sector Development Support Programme - Phase II (PAGE-DSP II), FR: Bénin - Programme d’appui à la gouvernance économique et au développement du secteur privé - Phase II (PAGE-DSP II)"
46002-P-BJ-K00-010,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,"EN: Benin - Economic Governance and Private Sector Development Support Programme (PAGE-DSP) - Supplementary Financing 2025 (FS 2025), FR: Bénin - Programme d'appui à la gouvernance économique et au développement du secteur privé (PAGE-DSP) - Financement supplémentaire 2025 (FS 2025)"
46002-P-BJ-KA0-006,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Benin - Poverty Reduction Strategy Support Program I (PRSP I), FR: Bénin - Programme d’appui à la stratégie de réduction de la pauvreté I (PASRP I)"
46002-P-BJ-KA0-009,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,3,Finalisation,"EN: Benin - The Third Growth and Poverty Reduction Strategy Support Program (GPRSSP-III), FR: Bénin - Troisième Programme d’appui à la stratégie de croissance pour la réduction de la pauvreté  (PASCRP-III)"
46002-P-BJ-KA0-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,3,Finalisation,"EN: Benin - Poverty Reduction Strategy Support Programme - Phase II, FR: Bénin - Programme d'Appui à la Stratégie de Réduction de la Pauvreté - Phase II"
46002-P-BJ-KA0-014,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Benin - Economic and Financial Reform Support Programme (PAREF), FR: Bénin - Programme d’appui aux réformes économiques et financières (PAREF)"
46002-P-BJ-KF0-001,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Benin - Economic Governance and Private Sector Development Support Programme - Phase I (PAGE-DSP I), FR: Bénin - Programme d’appui à la gouvernance économique et au développement du secteur privé - Phase I (PAGE-DSP I)"
