iatiidentifier,year,commitment_usd,disbursement_usd,n_disb_tx
XI-IATI-EC_INTPA-2018-PCC-397670,2018,2256012,699027.5970000001,1
XI-IATI-EC_INTPA-2018-PCC-397670,2022,0,345264.930324,1
XI-IATI-EC_INTPA-2018-PCC-397670,2021,0,234813.22621200004,1
XI-IATI-EC_INTPA-2017-PCC-392914,2019,33042600,0,0
XI-IATI-EC_INTPA-2017-PCC-392914,2017,62667000,0,0
XI-IATI-EC_INTPA-2017-PCC-392914,2020,-8972775,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39674-04,2017,68364000,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39674-04,2018,29738340,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39674-04,2019,10254600,0,0
XI-IATI-EC_INTPA-2022-ACT-61302,2022,5264028,0,0
XI-IATI-EC_INTPA-2023-PC-25625,2023,5264028,0,0
XI-IATI-EC_INTPA-2019-PCC-413519,2020,3987900,0,0
XI-IATI-EC_INTPA-2019-PCC-413519,2019,28371060,0,0
XI-IATI-EC_INTPA-2019-ACT-D-40840-00,2020,6836400,0,0
XI-IATI-EC_INTPA-2019-ACT-D-40840-00,2019,36460800,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38103-00,2015,34182000,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38103-00,2017,3987900,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40697-00,2020,17204940,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40697-00,2018,68819760,0,0
