iatiidentifier,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy
XM-DAC-6-4-009614-01-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010607-01-5,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010744-01-6,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010419-01-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2023-ACT-61831,110,Standard grant,50,Other flows,5,1,Bilateral,1
XI-IATI-EC_INTPA-2021-PCC-427597,110,Standard grant,50,Other flows,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-23134,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2022-ACT-61306,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2023-PC-23130,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2025-PC-55044,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-23139,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-ACT-61724,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2022-PC-21502,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2018-ACT-D-40701-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2018-ACT-D-40643-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2017-ACT-D-39656-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2021-ACT-62576,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2021-ACT-61116,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2019-PCC-410060,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2018-PCC-404409,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2025-PC-36947,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2025-PC-26320,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2022-ACT-60736,110,Standard grant,50,Other flows,5,1,Bilateral,1
XI-IATI-EC_INTPA-2023-PC-25058,110,Standard grant,50,Other flows,5,1,Bilateral,2
XI-IATI-EC_INTPA-2008-ACT-D-20972-01,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2021-ACT-61083,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2020-PCC-417520,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-27358,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2021-PCC-417549,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2016-ACT-D-38564-01,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2016-ACT-D-38569-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2016-ACT-D-38575-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2022-PC-21515,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2019-ACT-D-42209-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2019-PCC-407596,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2019-PCC-404038,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2021-PCC-422434,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2018-PCC-383693,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2018-PCC-397536,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-25538,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2019-ACT-D-40019-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2020-ACT-D-38966-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2020-ACT-D-40118-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2019-PCC-410047,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2014-ACT-D-25027-00,110,Standard grant,10,ODA,5,1,Bilateral,1
