iatiidentifier,country,percentage
XI-IATI-EC_INTPA-2020-PCC-416581,CO,0
XI-IATI-EC_INTPA-2024-PC-27309,CO,0
XI-IATI-EC_INTPA-2024-PC-27308,CO,0
XI-IATI-EC_INTPA-2021-PCC-428224,CO,0
XI-IATI-EC_INTPA-2021-ACT-63101,CV,0
XI-IATI-EC_INTPA-2025-PC-53764,CV,0
XI-IATI-EC_INTPA-2021-ACT-60940,CV,0
XI-IATI-EC_INTPA-2022-PC-24334,CV,0
XI-IATI-EC_INTPA-2021-PCC-430941,CV,0
XI-IATI-EC_INTPA-2018-ACT-D-40855-00,DM,0
XI-IATI-EC_INTPA-2018-ACT-D-41630-00,DM,0
XI-IATI-EC_INTPA-2022-ACT-61489,DO,0
XI-IATI-EC_INTPA-2018-ACT-D-39315-00,DO,0
XI-IATI-EC_INTPA-2019-ACT-D-41940-00,DO,0
XI-IATI-EC_INTPA-2022-PCC-431645,DO,0
XI-IATI-EC_INTPA-2016-ACT-D-39312-00,DO,0
XI-IATI-EC_INTPA-2023-PC-26293,DO,0
XI-IATI-EC_INTPA-2026-PC-26307,DO,0
XI-IATI-EC_INTPA-2020-ACT-D-38561-00,FJ,0
XI-IATI-EC_INTPA-2023-PC-36658,FJ,0
XI-IATI-EC_INTPA-2023-ACT-61606,FJ,0
XI-IATI-EC_INTPA-2025-PC-36663,FJ,0
XI-IATI-EC_INTPA-2024-PC-27305,GL,0
XI-IATI-EC_INTPA-2023-ACT-62246,GL,0
XI-IATI-EC_INTPA-2023-ACT-61910,GL,0
XI-IATI-EC_INTPA-2021-ACT-61102,GL,0
XI-IATI-EC_INTPA-2026-PC-38372,GL,0
XI-IATI-EC_INTPA-2022-PC-17800,GL,0
XI-IATI-EC_INTPA-2024-PC-37206,GL,0
XI-IATI-EC_INTPA-2019-ACT-D-41264-00,GM,0
XI-IATI-EC_INTPA-2024-PC-41558,GM,0
XI-IATI-EC_INTPA-2025-PC-50869,GM,0
XI-IATI-EC_INTPA-2023-ACT-61846,GM,0
XI-IATI-EC_INTPA-2024-PC-36587,GM,0
XI-IATI-EC_INTPA-2025-PC-49555,GM,0
XI-IATI-EC_INTPA-2021-PCC-429840,GM,0
XI-IATI-EC_INTPA-2023-PC-28421,GM,0
XI-IATI-EC_INTPA-2026-PC-75852,GM,0
XI-IATI-EC_INTPA-2024-PC-36591,GM,0
XI-IATI-EC_INTPA-2022-PC-21817,GM,0
XI-IATI-EC_INTPA-2016-ACT-D-38386-00,ET,0
XI-IATI-EC_INTPA-2019-ACT-D-40939-00,ET,0
XI-IATI-EC_INTPA-2019-PCC-413782,ET,0
XI-IATI-EC_INTPA-2019-PCC-409671,ET,0
XI-IATI-EC_INTPA-2018-PCC-397670,ET,0
XI-IATI-EC_INTPA-2017-PCC-392914,GN,0
XI-IATI-EC_INTPA-2017-ACT-D-39674-04,GN,0
XI-IATI-EC_INTPA-2022-ACT-61302,GY,0
XI-IATI-EC_INTPA-2023-PC-25625,GY,0
XI-IATI-EC_INTPA-2019-PCC-413519,HN,0
XI-IATI-EC_INTPA-2019-ACT-D-40840-00,HN,0
XI-IATI-EC_INTPA-2015-ACT-D-38103-00,HN,0
XI-IATI-EC_INTPA-2018-ACT-D-40697-00,HN,0
XI-IATI-EC_INTPA-2021-PCC-422992,HN,0
XI-IATI-EC_INTPA-2021-PCC-419116,HN,0
XI-IATI-EC_INTPA-2017-ACT-D-39148-00,HT,0
