iatiidentifier,budget_orig,n_budget_lines,budget_ccy
44000-P177726,-1313347815.76,4,USD
44000-P177748,-81091570,4,USD
44000-P177765,-793128929.92,4,USD
44000-P177776,-186191320.26,4,USD
44000-P177794,-16334092,4,USD
44000-P177797,-89432309.64,4,USD
44000-P177807,0,4,USD
44000-P177930,-105499680,4,USD
44000-P177931,-2389512681.78,4,USD
44000-P177985,-1199067392.56,4,USD
44000-P178042,-286524700,4,USD
44000-P178064,-848987916.58,4,USD
44000-P178113,-400000000,4,USD
44000-P178115,-358089211.9,4,USD
44000-P178122,316943.24,4,USD
44000-P178156,-903121251.26,4,USD
44000-P178202,-224672306,4,USD
44000-P178209,-40935524.82,4,USD
44000-P178210,-44594371.9,4,USD
44000-P178224,-1110747899.74,4,USD
44000-P178285,-390950306.14,4,USD
44000-P178303,-1068512444.12,4,USD
44000-P178321,-196729632,146,USD
44000-P178322,-132357060,4,USD
44000-P178329,-298633968.26,4,USD
44000-P178382,-942939111.2,4,USD
44000-P178423,-750613500,4,USD
44000-P178481,-970057854.5,4,USD
44000-P178531,-158084843.82,4,USD
44000-P178570,-693903559.98,4,USD
44000-P178591,-1227994785.92,4,USD
44000-P178614,-106155813.84,4,USD
44000-P178634,-1269407185.74,4,USD
44000-P178635,-98933142.18,4,USD
44000-P178636,-816665924.84,146,USD
44000-P178646,-160776964.92,4,USD
44000-P178668,-610028804,4,USD
44000-P178676,-41214730,4,USD
44000-P178687,-198333874.56,4,USD
44000-P178729,-180861191.82,4,USD
44000-P178912,-1103057033.58,4,USD
44000-P178930,-58008733.34,4,USD
44000-P179006,-620543280,4,USD
44000-P179007,-1668829459.9,4,USD
44000-P179019,-548000000,4,USD
44000-P179077,-1518390469.96,148,USD
44000-P179079,-996206036.08,4,USD
44000-P179086,-173788260.82,4,USD
44000-P179112,-163168592.62,4,USD
44000-P179141,-1000000000,4,USD
44000-P179182,-215230762.78,4,USD
44000-P179214,-1323805359.1,4,USD
44000-P179263,-48804840,4,USD
44000-P179265,-50943777.24,4,USD
44000-P179294,-290540640,4,USD
44000-P179297,-1158727668.32,4,USD
44000-P179307,-149367422.8,4,USD
44000-P179361,-1035047233.3,4,USD
44000-P179367,-623226350.08,4,USD
44000-P179512,-843869318.98,4,USD
44000-P179513,-918147620.46,4,USD
44000-P179539,-79426661.62,4,USD
44000-P179763,-38988237.66,4,USD
44000-P179808,-991248768,4,USD
44000-P179813,-10142808,4,USD
44000-P179817,-216731834.52,4,USD
44000-P179820,-14933743.98,4,USD
44000-P179849,-183438386.52,4,USD
44000-P179861,2400000,4,USD
44000-P179909,-540600000,4,USD
44000-P179944,-206931480,4,USD
44000-P180017,-412743019.7,4,USD
44000-P180033,-1659863437.84,4,USD
44000-P180050,-130000000,4,USD
44000-P180093,-155789075.6,4,USD
44000-P180120,-20000850,4,USD
44000-P180196,-250000000,4,USD
44000-P180216,-71495124,4,USD
44000-P180234,-588259930.36,4,USD
44000-P180286,-385969786.6,4,USD
44000-P180288,-179720268,138,USD
44000-P180319,-783322279,156,USD
44000-P180336,-1459424870.26,4,USD
44000-P180339,-1670727591.78,156,USD
44000-P180398,-161891499.64,4,USD
44000-P180439,-964978055.76,4,USD
44000-P180470,-1457140400.72,4,USD
44000-P180496,-1211896725.34,4,USD
44000-P180497,-726459579.76,4,USD
44000-P180504,-1360374854.9,4,USD
44000-P180544,-161481469.82,4,USD
44000-P180549,-387867369.22,4,USD
44000-P180554,7513698.66,4,USD
44000-P180566,-1261093788.72,4,USD
44000-P180585,-973319598.46,4,USD
44000-P180587,-188437090.42,4,USD
44000-P180679,-265556141.24,4,USD
44000-P180718,-565513333.32,4,USD
44000-P180749,-549050129.1,4,USD
44000-P180927,-1360861924.22,4,USD
44000-P181011,-255532032,4,USD
44000-P181023,-2507424362.12,4,USD
44000-P181032,-2225537062.06,140,USD
44000-P181080,-1364822445.88,4,USD
44000-P181127,-1334567398.3,4,USD
44000-P181146,-497918271.44,4,USD
44000-P181148,-711026623.32,4,USD
44000-P181195,-2457069194.32,4,USD
44000-P181238,-371600040,4,USD
44000-P181256,2000000,4,USD
44000-P181263,4582191.8,4,USD
44000-P181269,-39709372,4,USD
44000-P181306,-626958679,4,USD
44000-P181310,-49985366.76,4,USD
44000-P181344,-276937870.74,4,USD
44000-P181372,0,4,USD
44000-P181389,-1525958313.28,4,USD
44000-P181432,0,4,USD
44000-P181457,-281266211.58,4,USD
44000-P181479,-77869027.42,4,USD
44000-P181501,-85991282.22,4,USD
44000-P181517,-1198568744.74,4,USD
44000-P181591,-3019202369.34,4,USD
44000-P181603,0,4,USD
44000-P500536,-41081362,4,USD
44000-P500557,-745484943.54,4,USD
44000-P500567,-21059192,4,USD
44000-P500609,-188295231.52,4,USD
44000-P500614,-525227638.6,4,USD
44000-P500689,-1867629291.4,4,USD
44000-P500912,-2196837726.06,4,USD
44000-P501015,-99682856,4,USD
44000-P501037,-1509725429.14,4,USD
44000-P501661,-2877702400.7,4,USD
44000-P501988,-254218834.8,4,USD
44000-P502012,-57943776,4,USD
44000-P502032,-2620133356.54,4,USD
44000-P502111,-649720998.34,4,USD
44000-P502565,-80000000,4,USD
44000-P503960,-117622604,4,USD
44000-P503988,-1891352573.4,4,USD
44000-P504373,-54967938,4,USD
44000-P504910,-953513524.52,4,USD
44000-P505118,-541946552.06,4,USD
44000-P505235,-717469323.26,4,USD
44000-P505244,-488621466.56,4,USD
44000-P505490,0,4,USD
44000-P505747,-1293095802.26,4,USD
44000-P505784,0,4,USD
44000-P505866,-534641113.92,4,USD
44000-P506131,0,4,USD
44000-P506285,-40107726,4,USD
44000-P506321,-387920598.54,4,USD
44000-P506356,-14334732,4,USD
44000-P506463,-1929491847.42,4,USD
44000-P506857,-247270487.86,4,USD
44000-P506861,0,4,USD
44000-P506960,-28144603.8,4,USD
44000-P507031,-2901643924.48,4,USD
44000-P507116,-49035288,4,USD
44000-P507248,-1305931783.78,4,USD
44000-P507259,-531461350.98,4,USD
44000-P507322,0,4,USD
44000-P507382,-759011580.6,4,USD
44000-P507527,-200196660,4,USD
44000-P507528,0,4,USD
44000-P507576,-190239111.34,4,USD
44000-P507760,0,4,USD
44000-P507861,-1200000000,4,USD
44000-P507912,-206391870,4,USD
44000-P507916,10387.3,4,USD
44000-P507962,-89639568,4,USD
44000-P508114,-50121437.6,4,USD
44000-P508225,-191575402.76,4,USD
44000-P508227,0,4,USD
44000-P508323,-3130101675.44,4,USD
44000-P508347,0,4,USD
44000-P508348,-2116110425.56,4,USD
44000-P508569,0,4,USD
44000-P508608,-203000000,4,USD
44000-P508695,0,4,USD
44000-P508911,-20087994,4,USD
44000-P509222,-41104200,4,USD
44000-P509413,-479193883.64,4,USD
44000-P509552,-2813047223.18,4,USD
44000-P509756,0,4,USD
44000-P509760,-24791858,4,USD
44000-P509816,-49746424,4,USD
44000-P509948,-200000000,4,USD
44000-P510158,2000000,4,USD
44000-P510580,-305923390,4,USD
44000-P510637,-89633418,4,USD
44000-P510638,-399029280,4,USD
