donor_ref,donor,country,year,commit_year,disb_year,cum_commit,total_commit,s1_share,s2_hhi,s2_hhi_net,s3_n_donors,n_activities
44000,EN: World Bank,GA,2018,0,0,200000000,898104661.5505413,0.2226911946484145,0.6538003470510472,0.6042089788771091,2,1
44000,EN: World Bank,GA,2019,200000000,198906862,400000000,1098104661.5505414,0.3642640032464607,0.5368485216293535,0.40416025756821594,2,1
44000,EN: World Bank,GA,2020,0,0,400000000,1215037192.3645964,0.32920802960899975,0.5583397943000807,0.44996186754104067,2,1
44000,EN: World Bank,GD,2014,15000000,14991447,15000000,15000000,1,1,NA,1,1
44000,EN: World Bank,GD,2015,14999999.999999998,14993960,30000000,30000000,1,1,NA,1,1
44000,EN: World Bank,GD,2016,9340000,0,39340000,39340000,1,1,NA,1,1
44000,EN: World Bank,GD,2017,0,9088880,39340000,39340000,1,1,NA,1,1
44000,EN: World Bank,GD,2018,30000000,30000000,69340000,69340000,1,1,NA,1,1
44000,EN: World Bank,GD,2019,20000000,0,89340000,89340000,1,1,NA,1,1
44000,EN: World Bank,GD,2020,45000000,20000000,134340000,134340000,1,1,NA,1,3
44000,EN: World Bank,GD,2021,0,25000000,134340000,134340000,1,1,NA,1,1
44000,EN: World Bank,GD,2022,25000000,25000000,159340000,159340000,1,1,NA,1,1
44000,EN: World Bank,GD,2023,30000000,30000000,189340000,189340000,1,1,NA,1,1
44000,EN: World Bank,GE,2015,120000000,120000000,120000000,270000000,0.4444444444444444,0.5061728395061729,0.308641975308642,2,2
44000,EN: World Bank,GE,2017,100000000,106297647,220000000,362595910,0.6067360219258954,0.5227851567531304,0.15465655645066984,2,2
44000,EN: World Bank,GE,2020,98500000,101091505,318500000,1382323937,0.23040908970384125,0.39525031120904774,0.342161962590895,3,1
44000,EN: World Bank,GE,2023,50000000,50257249,368500000,1745235923,0.21114623824987586,0.4032908284679076,0.35870809454083424,3,1
44000,EN: World Bank,GH,2015,150000000,151757276,150000000,274852681.8938252,0.5457469032736038,0.37621468417939363,0.0783750017466654,4,1
44000,EN: World Bank,GH,2017,200000000,201598528,350000000,515028454.71688473,0.6795741027403968,0.5159349824578402,0.05411402134242488,3,1
44000,EN: World Bank,GM,2017,56000000,57224482,56000000,56000000,1,1,NA,1,1
44000,EN: World Bank,GM,2020,30000000,30871992.000000004,86000000,111963952.06446372,0.7681043622905088,0.6437598981584008,0.053775586788691654,2,1
44000,EN: World Bank,GM,2022,40000000,40113687,126000000,151963952.06446373,0.829144006116334,0.7166715535246186,0.029191770645975335,2,1
44000,EN: World Bank,GM,2023,60000000,40545785,186000000,328070984.167495,0.5669504740627676,0.4336491594017277,0.11221631936173088,3,1
44000,EN: World Bank,GN,2014,49999999.99999999,49236122,49999999.99999999,58665499.513836995,0.8522896832781056,0.7482160418883759,0.02181833766608232,2,1
44000,EN: World Bank,GN,2016,40000000,39391619,90000000,112931705.28622593,0.7969418310995533,0.6763489021135112,0.04123261995720229,2,1
44000,EN: World Bank,GN,2018,60000000,59166510,150000000,248102340,0.6045892191101463,0.5218778095081404,0.15634968564392399,2,1
44000,EN: World Bank,GN,2019,90000000,91488349,240000000,348356940,0.6889485250387146,0.5714030902286116,0.09675302007559117,2,1
44000,EN: World Bank,GN,2020,80000000.00000001,82453208,320000000,375478182.33350104,0.8522465886334106,0.7481553184077505,0.021831070570464628,2,1
44000,EN: World Bank,GT,2014,340000000,0,340000000,590000000,0.576271186440678,0.5116345877621373,0.17954610744039068,2,1
44000,EN: World Bank,GT,2015,0,340000000,340000000,590000000,0.576271186440678,0.5116345877621373,0.17954610744039068,2,1
44000,EN: World Bank,GT,2016,250000000,0,590000000,1090000000,0.5412844036697247,0.5034088039727296,0.21041999831664004,2,1
44000,EN: World Bank,GT,2018,0,250000000,590000000,590000000,1,1,NA,1,1
44000,EN: World Bank,GT,2019,200000000,0,790000000,790000000,1,1,NA,1,1
44000,EN: World Bank,GT,2020,500000000,200000000,1290000000,1790000000,0.7206703910614525,0.5973908429824287,0.07802503042976183,2,2
44000,EN: World Bank,GT,2022,250000000,500000000,1540000000,2340000000,0.6581196581196581,0.5500036525677551,0.11688216816421942,2,2
44000,EN: World Bank,GY,2018,35000000,34214168,35000000,63800000,0.54858934169279,0.5047218482522774,0.20377158243334875,2,1
44000,EN: World Bank,GY,2023,35000000,35747562,70000000,292800000,0.2390710382513661,0.6361678461584401,0.579012884827854,2,1
44000,EN: World Bank,HN,2014,55000000,55000000,55000000,185000000,0.2972972972972973,0.5821767713659606,0.493791088385683,3,1
44000,EN: World Bank,HN,2015,50000000,50000000,105000000,369182000,0.2844125661597803,0.4775908315461208,0.3967003237565294,4,1
44000,EN: World Bank,HN,2020,119000000,119000000,224000000,1092421800,0.20504900213452348,0.47724094258392397,0.43519584930756017,3,1
44000,EN: World Bank,HN,2022,110000000,0,334000000,1348410000,0.24769914195237352,0.627311445943137,0.565956581019195,2,1
44000,EN: World Bank,HR,2014,206800000,202102500,206800000,206800000,1,1,NA,1,1
44000,EN: World Bank,HR,2020,300000000,806801,506800000,506800000,1,1,NA,1,1
44000,EN: World Bank,HR,2021,0,334724467,506800000,506800000,1,1,NA,1,1
44000,EN: World Bank,HT,2018,20000000,19952075,20000000,20000000,1,1,NA,1,1
44000,EN: World Bank,HT,2020,20000000,0,40000000,218885800,0.18274369557093242,0.7013031253999784,0.6679078671290568,2,1
44000,EN: World Bank,HT,2021,0,0,40000000,218885800,0.18274369557093242,0.7013031253999784,0.6679078671290568,2,1
44000,EN: World Bank,ID,2015,500000000,2000000000,500000000,1700000000,0.29411764705882354,0.5847750865051904,0.4982698961937717,3,2
44000,EN: World Bank,ID,2016,400000000,500000000,900000000,3100000000,0.2903225806451613,0.5879292403746099,0.5036420395421437,3,2
44000,EN: World Bank,ID,2017,300000000,400000000,1200000000,4200000000,0.2857142857142857,0.5918367346938775,0.5102040816326531,3,2
44000,EN: World Bank,ID,2018,300000000,600000000,1500000000,5500000000,0.2727272727272727,0.6033057851239669,0.5289256198347108,2,2
44000,EN: World Bank,ID,2019,1000000000,1020070896,2500000000,7500000000,0.3333333333333333,0.5555555555555556,0.4444444444444445,2,1
44000,EN: World Bank,ID,2020,600000000,601870192,3100000000,10607915482,0.2922346058714573,0.5863329179947774,0.5009318531259315,2,1
44000,EN: World Bank,ID,2021,1200000000,800000000,4300000000,12807915482,0.33572988563542117,0.5539693409467036,0.4412547848379306,2,2
44000,EN: World Bank,ID,2022,1100000000,1504296720,5400000000,15407915482,0.350469212159714,0.5447189130242732,0.4218902443524226,2,3
44000,EN: World Bank,ID,2023,2000000000,2025656260,7400000000,18790486531.80641,0.3938163063246988,0.49945811489902675,0.3443668317717978,3,2
44000,EN: World Bank,IN,2016,250000000,250000000,250000000,700000000,0.35714285714285715,0.5408163265306123,0.41326530612244905,2,1
44000,EN: World Bank,IN,2018,250000000,625000,500000000,1375000000,0.36363636363636365,0.5371900826446281,0.4049586776859504,2,1
44000,EN: World Bank,IN,2019,290000000,537810968,790000000,1665000000,0.4744744744744745,0.5013031049067085,0.27617707797887975,2,3
44000,EN: World Bank,IN,2020,2099960000,1698478832,2889960000,5314960000,0.5437406866655629,0.5038264953399499,0.20817256100441212,2,4
44000,EN: World Bank,IN,2021,500000000,902481764,3389960000,6414960000,0.528446007457568,0.501618350680552,0.22236316788270805,2,2
44000,EN: World Bank,IN,2022,940000000,190000000,4329960000,7604960000,0.5693599966337759,0.5096216182660749,0.1854508124992616,2,2
44000,EN: World Bank,IN,2023,1500000000,2250000000,5829960000,10099294155.363749,0.5772641048289202,0.5042167085204904,0.1709828617965558,3,2
44000,EN: World Bank,IQ,2015,1200000000,1200000000,1200000000,1200000000,1,1,NA,1,1
44000,EN: World Bank,IQ,2016,1443820000,1443820000,2643820000,2643820000,1,1,NA,1,1
44000,EN: World Bank,JM,2015,75000000,75000000,75000000,397345600,0.18875256200144155,0.5915612876190035,0.5559337579568955,3,1
44000,EN: World Bank,JM,2017,70000000,70000000,145000000,746202670,0.19431718195272607,0.5947804023987976,0.5570212351967487,3,1
44000,EN: World Bank,JM,2020,70000000,70000000,215000000,920000000,0.23369565217391305,0.641836011342155,0.5872223534971645,2,1
44000,EN: World Bank,JM,2021,150000000,150000000,365000000,1145000000,0.31877729257641924,0.5656833393718655,0.46406437710951354,2,1
44000,EN: World Bank,JO,2015,250000000,250000000,250000000,314902223.89162564,0.7938972196209008,0.6586570174408222,0.02838422211902547,3,1
44000,EN: World Bank,JO,2016,225000000,225000000,475000000,619660223.8916256,0.7665491210923266,0.6327950477682461,0.045197492720827626,3,1
44000,EN: World Bank,JO,2018,389000000,389000000,864000000,1053096823.8916256,0.8204373808736455,0.7010474089424436,0.027929913007636364,3,1
44000,EN: World Bank,JO,2019,1450000000,728625000,2314000000,2800933779.665816,0.8261530553842966,0.6971426971773803,0.014613826256571594,4,1
44000,EN: World Bank,JO,2020,0,225000000,2314000000,2846509779.665816,0.8129253644340778,0.6785012693791338,0.01765362123885561,4,1
44000,EN: World Bank,KE,2018,200000000,0,200000000,200000000,1,1,NA,1,1
44000,EN: World Bank,KE,2019,750000000,821086278,950000000,950000000,1,1,NA,1,2
