iatiidentifier,commitment_usd_full,disbursement_usd_full,n_disb_years_full
44000-P502012,30000000,28971888,1
44000-P502032,1500000000,1480369871,2
44000-P502111,500000000,346238450,2
44000-P502565,60000000,40000000,1
44000-P503960,80000000,58811302,1
44000-P503988,1000000000,1000000000,1
44000-P504373,30000000,18483969,2
44000-P504910,500000000,500000000,1
44000-P505118,300000000,300000000,1
44000-P505235,359633746,359633746,1
44000-P505244,255000000,254652315,2
44000-P505490,20000000,0,0
44000-P505747,700000000,700000000,1
44000-P505784,430000000,0,1
44000-P505866,275000000,275000000,1
44000-P506131,500000000,0,1
44000-P506285,30000000,20053863,1
44000-P506321,200000000,200000000,1
44000-P506356,7000000,7167366.000000001,1
44000-P506463,1051000000,1038772619,3
44000-P506857,125000000.00000001,123635244,1
44000-P506861,585000000,0,1
44000-P506960,15000000,15000000.000000002,2
44000-P507031,1500000000,1500000000,1
44000-P507116,100000000,24517644,1
44000-P507248,600000000,678009402,1
44000-P507259,234000000,234000000,2
44000-P507322,1000000000,0,1
44000-P507382,400000000,400000000,1
44000-P507527,150000000,100098330,1
44000-P507528,800000000,1919711,1
44000-P507576,90000000,97365205,1
44000-P507760,20000000,0,0
44000-P507861,600000000,600000000,1
44000-P507912,300000000,103195935,1
44000-P507916,30000000,150000,1
44000-P507962,45000000.00000001,44819784.00000001,1
44000-P508114,24000000,25200515,1
44000-P508225,100000000,100000000,1
44000-P508227,150000000,0,1
44000-P508323,1500000000,1604850840,1
44000-P508347,300000000,0,1
44000-P508348,1100000000,500000000,1
44000-P508569,200000000,0,1
44000-P508608,101500000,101500000,1
44000-P508695,600000000,0,1
44000-P508911,10000000,10043997,1
44000-P509222,20000000,20552100,1
44000-P509413,350000000,250500000,1
44000-P509552,1500000000,1500000000,1
44000-P509756,376623377,0,1
44000-P509760,12000000,12395929.000000002,1
44000-P509816,25000000,24873212,1
44000-P509948,100000000,100000000,1
44000-P510158,200000000,0,1
44000-P510580,150000000,152961695,1
44000-P510637,45000000,44816709,1
44000-P510638,200000000,199514640,1
44000-P510901,400000000,0,1
44000-P511001,30000000,30156800,1
44000-P511201,500000000,501910539,1
44000-P511758,20000000,20000000,1
44000-P511822,15000000,10106920,1
44000-P511848,990000000,750000000,1
44000-P511920,800000000,800000000,1
44000-P512397,900000000,900000000,2
44000-P512526,796178350,0,1
44000-P512660,115700000,0,1
44000-P513028,340000000,96087432,1
44000-P513191,650000000,0,1
44000-P513503,500000000,0,1
44000-P513769,30000000,30000000,1
44000-P513997,250000000,0,1
44000-P514501,1000000000,0,1
46002-P-AO-AA0-011,103769609.11681068,108281105.33260468,1
46002-P-AO-FA0-002,988399010.4379265,947309939.110966,2
46002-P-AO-K00-007,164965113.05154416,164721621.65534097,1
46002-P-AO-K00-009,160550025.4676183,166190570.4312544,1
46002-P-BF-FA0-008,27122064.206062596,27122064.206062596,1
46002-P-BF-K00-006,61024644.46364084,57982324.076120794,1
46002-P-BF-K00-011,20982637.200352047,22075905.951530162,1
46002-P-BF-K00-012,40683096.3090939,40544494.28877133,1
46002-P-BF-KA0-009,27122064.206062596,27122064.206062596,1
46002-P-BF-KZ0-001,13561032.103031298,13561032.103031298,1
46002-P-BF-KZ0-003,54244128.41212519,54244128.41212519,1
46002-P-BI-I00-004,1356103.2103031299,1356103.2103031299,2
46002-P-BI-KA0-001,11140232.693749858,10601588.15959165,4
46002-P-BJ-E00-007,136556535.9292765,34002558.46499966,1
46002-P-BJ-FZ0-001,27013575.94923835,27013575.94923835,1
46002-P-BJ-K00-005,9492722.47212191,9492722.47212191,2
46002-P-BJ-K00-006,6837848.026937635,6837848.026937635,2
46002-P-BJ-K00-007,62380747.673943974,62380747.673943974,1
